,lr,train_loss,val_loss,train_iou,val_iou
0,0.01,0.3145114481449127,0.3977755308151245,0.6279029250144958,0.597685694694519
1,0.01,0.30595749616622925,0.39910367131233215,0.6370002627372742,0.5469405651092529
2,0.01,0.28775545954704285,0.3603769540786743,0.6561412811279297,0.6502044796943665
3,0.01,0.29624056816101074,0.443121999502182,0.6481484174728394,0.4953005313873291
4,0.01,0.26917216181755066,0.3875088095664978,0.6745232343673706,0.6380025148391724
5,0.01,0.27639684081077576,0.30647653341293335,0.6678433418273926,0.6820839047431946
6,0.01,0.27320146560668945,0.2968168258666992,0.672835111618042,0.6472631096839905
7,0.01,0.26488780975341797,0.27173447608947754,0.6775169968605042,0.7001723647117615
8,0.01,0.26145392656326294,0.22981251776218414,0.6845176219940186,0.7095208168029785
9,0.01,0.2423911988735199,0.2766164243221283,0.705249547958374,0.6749336123466492
10,0.01,0.2449173778295517,0.2528112530708313,0.6995468735694885,0.6915346384048462
11,0.01,0.2424812912940979,0.24701596796512604,0.7008108496665955,0.6838566064834595
12,0.01,0.23845317959785461,0.24233342707157135,0.7068939805030823,0.7019609212875366
13,0.0009999999,0.2019176185131073,0.20214806497097015,0.7407368421554565,0.7371401786804199
14,0.0009999999,0.19730986654758453,0.1893654763698578,0.7469279766082764,0.7531136870384216
15,0.0009999999,0.18615080416202545,0.1928541511297226,0.7655561566352844,0.7431578040122986
16,0.0009999999,0.1911066472530365,0.1935669630765915,0.758401095867157,0.7539110779762268
17,0.0009999999,0.17957733571529388,0.18533693253993988,0.7730358242988586,0.7573661804199219
18,0.0009999999,0.1734449863433838,0.1890186369419098,0.7766072154045105,0.7565546631813049
19,0.0009999999,0.18103747069835663,0.18776841461658478,0.7700076103210449,0.7563582062721252
20,0.0009999999,0.17311443388462067,0.19033969938755035,0.7795639634132385,0.747404158115387
21,0.0009999999,0.16589824855327606,0.1907482147216797,0.7863919138908386,0.7664250135421753
22,9.999999e-05,0.17113208770751953,0.1805054396390915,0.7822664380073547,0.7659878730773926
23,9.999999e-05,0.1616816371679306,0.18467940390110016,0.7903546094894409,0.764193594455719
24,9.999999e-05,0.1642654836177826,0.18041206896305084,0.7883895635604858,0.7633192539215088
25,9.999999e-05,0.16694410145282745,0.17090898752212524,0.7876638770103455,0.7744799256324768
26,9.999999e-05,0.15894873440265656,0.1688140630722046,0.7949433326721191,0.7765693068504333
27,9.999999e-05,0.17305339872837067,0.18133598566055298,0.7799168229103088,0.7668522000312805
28,9.999999e-05,0.1663873791694641,0.17683254182338715,0.7865317463874817,0.7684952020645142
29,9.999999e-05,0.16297456622123718,0.18063706159591675,0.7867720127105713,0.7696163058280945
30,9.999999e-05,0.17076309025287628,0.18096596002578735,0.7824317216873169,0.7684697508811951
31,9.999999e-06,0.16502445936203003,0.17743121087551117,0.7876569628715515,0.7698573470115662
32,9.999999e-06,0.17095071077346802,0.18100444972515106,0.7844343781471252,0.7636983394622803
33,9.999999e-06,0.17406536638736725,0.1766558736562729,0.7790005207061768,0.7673959136009216
34,9.999999e-06,0.16424395143985748,0.1731545478105545,0.7869082093238831,0.7711418271064758
35,9.999999e-07,0.16091513633728027,0.18630719184875488,0.7909568548202515,0.7608110904693604
36,9.999999e-07,0.15976470708847046,0.1840343475341797,0.7916015386581421,0.760215699672699
37,9.999999e-07,0.16187027096748352,0.18196725845336914,0.7903636693954468,0.7634621262550354
38,9.999999e-07,0.16104888916015625,0.17388397455215454,0.7900837063789368,0.7696207165718079
39,9.999999e-08,0.16624045372009277,0.1867619901895523,0.7851474285125732,0.7544122934341431
40,9.999999e-08,0.17634175717830658,0.18077430129051208,0.7759701013565063,0.766385555267334
41,9.999999e-08,0.16153782606124878,0.18630269169807434,0.7882938385009766,0.7565231323242188
42,9.999999e-08,0.16432397067546844,0.17647241055965424,0.7881274223327637,0.7758857607841492
43,9.999999e-09,0.16494236886501312,0.18678617477416992,0.7872402667999268,0.7557189464569092
44,9.999999e-09,0.16436800360679626,0.18265634775161743,0.786936342716217,0.7678053975105286
45,9.999999e-09,0.16522932052612305,0.17577551305294037,0.7867826223373413,0.768836498260498
46,9.999999e-09,0.16485457122325897,0.16948875784873962,0.7855008840560913,0.7777909636497498
47,9.999999e-10,0.1676841676235199,0.17691388726234436,0.7849541306495667,0.770694375038147
48,9.999999e-10,0.16846701502799988,0.1688038855791092,0.7830053567886353,0.7735413908958435
49,9.999999e-10,0.16482973098754883,0.18159107863903046,0.788615345954895,0.7659178972244263
50,9.999999e-10,0.17029567062854767,0.18608485162258148,0.7822510004043579,0.7624232769012451
51,9.999999e-11,0.16301196813583374,0.17776189744472504,0.7849371433258057,0.7712859511375427
52,9.999999e-11,0.16046087443828583,0.1808512657880783,0.7905377149581909,0.7619734406471252
53,9.999999e-11,0.1637086719274521,0.18163973093032837,0.7860790491104126,0.7650519013404846
54,9.999999e-11,0.16407327353954315,0.18299689888954163,0.7873799800872803,0.763828456401825
55,9.999999e-12,0.16347546875476837,0.17758746445178986,0.7899326086044312,0.7669788599014282
56,9.999999e-12,0.16600564122200012,0.17752280831336975,0.7839813232421875,0.7641189694404602
57,9.999999e-12,0.1605406105518341,0.17685578763484955,0.7896828651428223,0.7708985805511475
58,9.999999e-12,0.1638718992471695,0.1752253621816635,0.7890092730522156,0.7708742618560791
59,9.999999e-13,0.16339722275733948,0.183340385556221,0.7886654734611511,0.7636145949363708
60,9.999999e-13,0.16160720586776733,0.17310786247253418,0.7866972088813782,0.7707473635673523
61,9.999999e-13,0.16177712380886078,0.1743210256099701,0.789798378944397,0.7670802474021912
62,9.999999e-13,0.16512823104858398,0.18065129220485687,0.7857099771499634,0.7678088545799255
63,9.999999e-14,0.17111730575561523,0.18005789816379547,0.781765878200531,0.7667391896247864
64,9.999999e-14,0.15901313722133636,0.1788129061460495,0.7899725437164307,0.7702835202217102
65,9.999999e-14,0.1606704741716385,0.17372986674308777,0.7895585894584656,0.7719895839691162
66,9.999999e-14,0.1662268191576004,0.17008090019226074,0.7879165410995483,0.7742652893066406
67,9.999999e-15,0.15769490599632263,0.17744016647338867,0.7924995422363281,0.7717944979667664
68,9.999999e-15,0.16479313373565674,0.17218920588493347,0.7877385020256042,0.772966742515564
69,9.999999e-15,0.16991063952445984,0.17359845340251923,0.7838306427001953,0.7722160816192627
70,9.999999e-15,0.1723197102546692,0.18028680980205536,0.7822496294975281,0.7665219902992249
71,9.999999e-16,0.16320961713790894,0.18475878238677979,0.788718581199646,0.763793408870697
72,9.999999e-16,0.15842445194721222,0.16873006522655487,0.7919847369194031,0.7757489085197449
73,9.999999e-16,0.1647133082151413,0.1849173605442047,0.788428544998169,0.7625084519386292
74,9.999999e-16,0.16140516102313995,0.18086369335651398,0.7883535027503967,0.7643691897392273
75,9.999999e-17,0.1584899127483368,0.18371587991714478,0.7927647233009338,0.7655065655708313
76,9.999999e-17,0.16324976086616516,0.1832381933927536,0.7888789176940918,0.7645305395126343
77,9.999999e-17,0.15688160061836243,0.19066013395786285,0.7950680255889893,0.7557095885276794
78,9.999999e-17,0.17163296043872833,0.178775817155838,0.7812064290046692,0.7670680284500122
79,9.999999e-18,0.16235826909542084,0.17964951694011688,0.788218080997467,0.7676475644111633
80,9.999999e-18,0.1638803631067276,0.17131491005420685,0.7873050570487976,0.774604856967926
81,9.999999e-18,0.1597180962562561,0.17854943871498108,0.7904548645019531,0.7648094892501831
82,9.999999e-18,0.16839416325092316,0.18070007860660553,0.7847052812576294,0.7679713368415833
83,9.999999e-19,0.16371934115886688,0.17909415066242218,0.7864518761634827,0.762418270111084
84,9.999999e-19,0.16778738796710968,0.17002126574516296,0.784535825252533,0.7724558115005493
85,9.999999e-19,0.16424275934696198,0.18520580232143402,0.7884665131568909,0.7630084753036499
86,9.999999e-19,0.16812628507614136,0.17979317903518677,0.7853933572769165,0.7673683762550354
87,1e-19,0.16066323220729828,0.18218617141246796,0.7921335697174072,0.7655515074729919
88,1e-19,0.16853319108486176,0.181331068277359,0.7838425636291504,0.7642202973365784
89,1e-19,0.1596037596464157,0.18607671558856964,0.7923693656921387,0.7581353783607483
90,1e-19,0.16430853307247162,0.18805915117263794,0.7875623106956482,0.7581638097763062
91,1e-20,0.15960794687271118,0.17245490849018097,0.7892204523086548,0.7717363238334656
92,1e-20,0.16483817994594574,0.17710596323013306,0.790406346321106,0.767977774143219
93,1e-20,0.1650809347629547,0.17737944424152374,0.7844923138618469,0.7715157270431519
94,1e-20,0.15877576172351837,0.18850621581077576,0.7916499972343445,0.7541057467460632
95,1e-21,0.16705285012722015,0.1737886667251587,0.7847745418548584,0.7709323167800903
96,1e-21,0.17423047125339508,0.1711355596780777,0.7781925797462463,0.7735459804534912
97,1e-21,0.16168774664402008,0.17824400961399078,0.7928587198257446,0.7729688882827759
98,1e-21,0.16333453357219696,0.17394113540649414,0.7870989441871643,0.7708344459533691
99,9.9999997e-23,0.1610504388809204,0.1701701134443283,0.7917532920837402,0.7757406830787659
100,9.9999997e-23,0.16492803394794464,0.18141275644302368,0.7853596210479736,0.7641247510910034
101,9.9999997e-23,0.1620940864086151,0.1692381352186203,0.7889872193336487,0.774523913860321
102,9.9999997e-23,0.16570012271404266,0.18095523118972778,0.7838494777679443,0.7660884857177734
103,1e-23,0.16291901469230652,0.167655810713768,0.7881752848625183,0.7809723019599915
104,1e-23,0.16143274307250977,0.17939899861812592,0.7890956401824951,0.7609842419624329
105,1e-23,0.16698773205280304,0.17120198905467987,0.7856976389884949,0.7757923007011414
106,1e-23,0.1598493754863739,0.17306262254714966,0.7909358143806458,0.7699116468429565
107,1e-23,0.16341914236545563,0.19090552628040314,0.7860172390937805,0.7561313509941101
108,1e-24,0.16121765971183777,0.17846207320690155,0.7935064435005188,0.7651249766349792
109,1e-24,0.17489969730377197,0.1683322936296463,0.7789366841316223,0.7739686369895935
110,1e-24,0.16402240097522736,0.1819717288017273,0.7859159111976624,0.7625721096992493
111,1e-24,0.16892459988594055,0.17248545587062836,0.781571626663208,0.7697648406028748
112,1e-25,0.161610946059227,0.17117314040660858,0.7922186255455017,0.7711516618728638
113,1e-25,0.16945049166679382,0.17934821546077728,0.7824925780296326,0.7673956155776978
114,1e-25,0.16326092183589935,0.17387785017490387,0.7905647158622742,0.7758467197418213
115,1e-25,0.16993573307991028,0.17726482450962067,0.7831591963768005,0.7721878886222839
116,1e-26,0.17121924459934235,0.18254490196704865,0.7820664048194885,0.7635005116462708
117,1e-26,0.16280695796012878,0.1799052357673645,0.7907817959785461,0.7663077712059021
118,1e-26,0.16051344573497772,0.18422633409500122,0.7914401292800903,0.75925612449646
119,1e-26,0.1722024381160736,0.17289917171001434,0.7804667949676514,0.7769055962562561
120,1e-27,0.16201502084732056,0.174229696393013,0.7896265387535095,0.773121178150177
121,1e-27,0.16643700003623962,0.16937048733234406,0.783623456954956,0.7762897610664368
122,1e-27,0.16415029764175415,0.17439872026443481,0.7870337963104248,0.7729233503341675
123,1e-27,0.16492688655853271,0.1876114159822464,0.7867807149887085,0.758340060710907
124,1e-28,0.16135817766189575,0.18320606648921967,0.7891017198562622,0.7609028816223145
